city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Galle,LK,2021-10-18 23:55:41,6.0367,80.217,79.81,82,99,11.77
153,Diego De Almagro,CL,2021-10-18 23:55:42,-26.3667,-70.05,62.49,28,0,2.51
154,Iqaluit,CA,2021-10-18 23:52:39,63.7506,-68.5145,35.33,93,90,25.01
155,Ngaoundere,CM,2021-10-18 23:55:42,7.3167,13.5833,67.08,89,88,0.72
156,Chokurdakh,RU,2021-10-18 23:55:43,70.6333,147.9167,-11.45,100,92,5.28
157,Provideniya,RU,2021-10-18 23:55:43,64.3833,-173.3,28.51,74,90,13.42
158,Creel,MX,2021-10-18 23:55:44,27.75,-107.6333,57.33,62,100,10.71
159,Codrington,AU,2021-10-18 23:55:44,-38.2667,141.9667,54.93,64,63,14.25
160,Nadym,RU,2021-10-18 23:55:45,65.5333,72.5167,33.94,95,53,11.52
161,Saskylakh,RU,2021-10-18 23:55:45,71.9167,114.0833,18.01,98,100,1.3
162,Yeppoon,AU,2021-10-18 23:55:45,-23.1333,150.7333,78.58,69,28,4.85
163,Port Augusta,AU,2021-10-18 23:55:46,-32.5,137.7667,73.71,30,0,10.36
164,Palauig,PH,2021-10-18 23:55:46,15.435,119.9045,83.43,66,23,2.04
165,Komsomolskiy,UZ,2021-10-18 23:55:47,40.4272,71.7189,49.42,66,15,6.91
166,Mocuba,MZ,2021-10-18 23:55:47,-16.8392,36.9856,73.42,79,5,5.17
167,Hanmer Springs,NZ,2021-10-18 23:55:47,-42.5167,172.8167,57.06,55,74,8.7
168,Manturovo,RU,2021-10-18 23:55:48,58.3353,44.7619,30.9,97,31,5.5
169,Gogrial,SS,2021-10-18 23:55:48,8.5332,28.1004,75.06,75,24,5.19
170,Wukari,NG,2021-10-18 23:55:49,7.85,9.7833,73.92,91,93,4.43
171,Geraldton,AU,2021-10-18 23:55:49,-28.7667,114.6,61.21,94,90,19.57
172,Rawah,IQ,2021-10-18 23:55:49,34.4816,41.9093,70.2,46,1,5.5
173,Hofn,IS,2021-10-18 23:55:50,64.2539,-15.2082,40.8,91,100,25.03
174,Neiafu,TO,2021-10-18 23:55:50,-18.65,-173.9833,81.28,74,75,10.36
175,Sassandra,CI,2021-10-18 23:55:50,4.95,-6.0833,76.15,92,100,6.67
176,Atherton,GB,2021-10-18 23:55:51,53.5237,-2.4935,61.16,95,75,1.01
177,Praia,CV,2021-10-18 23:55:51,14.9215,-23.5087,79.34,78,0,9.22
178,Cordoba,AR,2021-10-18 23:55:51,-31.4135,-64.1811,62.42,53,0,6.91
179,La Ronge,CA,2021-10-18 23:55:52,55.1001,-105.2842,41.25,65,75,9.22
180,Castro,BR,2021-10-18 23:55:52,-24.7911,-50.0119,55.27,98,100,6.08
181,Nikolskoye,RU,2021-10-18 23:55:53,59.7035,30.7861,39.09,80,51,7.58
182,George,ZA,2021-10-18 23:55:53,-33.963,22.4617,45.95,93,0,3.44
183,Bintulu,MY,2021-10-18 23:55:53,3.1667,113.0333,77.41,100,40,0.0
184,Avera,US,2021-10-18 23:55:54,33.194,-82.5271,60.71,45,26,1.36
185,Mexicali,MX,2021-10-18 23:54:59,32.6519,-115.4683,77.09,37,39,1.99
186,Yasugi,JP,2021-10-18 23:55:55,35.4333,133.25,57.22,77,40,4.61
187,Saint George,US,2021-10-18 23:55:55,37.1041,-113.5841,54.19,54,40,1.99
188,Mogzon,RU,2021-10-18 23:55:55,51.7435,111.9606,24.42,80,10,3.8
189,Zhezkazgan,KZ,2021-10-18 23:55:56,47.8043,67.7144,43.48,37,7,8.97
190,Aitape,PG,2021-10-18 23:55:56,-3.1374,142.3475,86.31,66,70,5.17
191,Boralday,KZ,2021-10-18 23:55:56,43.3578,76.8594,39.06,81,75,4.47
192,Kahului,US,2021-10-18 23:55:57,20.8947,-156.47,81.97,72,22,10.0
193,Mon,IN,2021-10-18 23:55:57,26.75,95.1,67.89,98,79,3.06
194,Kaitangata,NZ,2021-10-18 23:55:58,-46.2817,169.8464,50.94,50,100,10.6
195,Dikson,RU,2021-10-18 23:55:58,73.5069,80.5464,28.24,95,100,25.03
196,Alofi,NU,2021-10-18 23:55:58,-19.0595,-169.9187,78.69,78,75,18.41
197,Tiksi,RU,2021-10-18 23:55:59,71.6872,128.8694,17.17,88,100,11.5
198,Shwebo,MM,2021-10-18 23:55:59,22.5667,95.7,74.28,96,93,3.56
199,Harper,LR,2021-10-18 23:55:59,4.375,-7.7169,77.29,87,86,6.62
200,Mandalgovi,MN,2021-10-18 23:56:00,45.7625,106.2708,27.72,49,0,5.88
201,Rodrigues Alves,BR,2021-10-18 23:56:00,-7.738,-72.6509,74.59,88,88,2.28
202,Bilma,NE,2021-10-18 23:56:01,18.6853,12.9164,83.32,15,92,6.73
203,Walvis Bay,NA,2021-10-18 23:56:02,-22.9575,14.5053,58.08,94,100,12.66
204,Rimavska Sobota,SK,2021-10-18 23:56:03,48.3828,20.0224,42.33,86,37,1.43
205,Cherskiy,RU,2021-10-18 23:56:03,68.75,161.3,0.0,96,37,9.64
206,Yatsuo,JP,2021-10-18 23:56:03,36.5667,137.1333,60.67,68,75,4.0
207,Severo-Kurilsk,RU,2021-10-18 23:56:04,50.6789,156.125,39.54,71,86,23.89
208,Wewak,PG,2021-10-18 23:56:04,-3.5534,143.6268,83.71,76,92,6.51
209,Tommot,RU,2021-10-18 23:56:05,58.9564,126.2925,30.6,94,100,10.13
210,Mahebourg,MU,2021-10-18 23:56:05,-20.4081,57.7,73.69,78,40,11.5
211,San Patricio,US,2021-10-18 23:56:06,28.017,-97.5169,77.85,61,2,8.3
212,Xinqing,CN,2021-10-18 23:56:06,48.2333,129.5,26.94,49,6,3.91
213,Nara,JP,2021-10-18 23:56:06,34.6851,135.8049,63.68,58,80,3.8
214,Hualmay,PE,2021-10-18 23:56:07,-11.0964,-77.6139,63.59,85,71,7.38
215,Norman Wells,CA,2021-10-18 23:56:07,65.282,-126.8329,26.64,86,75,9.22
216,Ozernovskiy,RU,2021-10-18 23:56:08,51.5,156.5167,38.34,74,100,24.92
217,Lubango,AO,2021-10-18 23:56:08,-14.9172,13.4925,60.31,46,3,3.18
218,Santa Rosa,PH,2021-10-18 23:56:08,14.3122,121.1114,84.09,73,32,9.91
219,Sao Filipe,CV,2021-10-18 23:56:09,14.8961,-24.4956,79.74,73,1,7.14
220,Matara,LK,2021-10-18 23:56:09,5.9485,80.5353,77.81,88,97,10.16
221,Belmonte,BR,2021-10-18 23:56:10,-15.8631,-38.8828,79.3,84,70,10.4
222,Georgetown,MY,2021-10-18 23:56:10,5.4112,100.3354,79.9,93,40,0.0
223,Namibe,AO,2021-10-18 23:56:10,-15.1961,12.1522,61.54,88,31,2.21
224,Turukhansk,RU,2021-10-18 23:56:11,65.8167,87.9833,36.52,95,100,16.67
225,Talnakh,RU,2021-10-18 23:56:11,69.4865,88.3972,33.1,96,100,12.21
226,Gilbues,BR,2021-10-18 23:56:12,-9.8317,-45.3439,82.45,51,96,5.86
227,Rincon De La Victoria,ES,2021-10-18 23:56:12,36.7172,-4.2758,70.09,72,61,5.32
228,Zhangye,CN,2021-10-18 23:56:12,38.9342,100.4517,48.43,27,99,1.83
229,Kushima,JP,2021-10-18 23:56:13,31.4583,131.2333,62.64,71,93,4.5
230,Marrakesh,MA,2021-10-18 23:55:22,31.6315,-8.0083,73.47,35,0,1.14
231,Carnarvon,AU,2021-10-18 23:56:13,-24.8667,113.6333,64.47,88,75,31.07
232,Jhalu,IN,2021-10-18 23:56:14,29.35,78.25,67.14,88,95,5.73
233,Pinhal Novo,PT,2021-10-18 23:56:14,38.6311,-8.9138,71.2,100,0,1.14
234,Lulea,SE,2021-10-18 23:56:14,65.5842,22.1547,26.67,86,69,6.91
235,Oksbol,DK,2021-10-18 23:56:15,55.6268,8.2876,51.82,93,100,13.31
236,Piracuruca,BR,2021-10-18 23:56:15,-3.9281,-41.7092,79.86,66,43,6.2
237,Georgiyevka,KZ,2021-10-18 23:56:15,43.0369,74.7114,39.24,93,10,4.47
238,Cartagena,CO,2021-10-18 23:52:53,10.3997,-75.5144,83.82,74,20,5.75
239,Luwuk,ID,2021-10-18 23:56:16,-0.9516,122.7875,82.89,77,77,1.95
240,Silvania,BR,2021-10-18 23:56:16,-16.6589,-48.6081,76.96,86,98,2.84
241,Aksarka,RU,2021-10-18 23:56:17,66.5606,67.7975,31.89,94,28,9.57
242,Ostrovnoy,RU,2021-10-18 23:56:17,68.0531,39.5131,38.41,78,100,28.99
243,Kaoma,ZM,2021-10-18 23:56:18,-14.7833,24.8,72.45,55,98,7.74
244,San Cristobal,VE,2021-10-18 23:56:18,7.7669,-72.225,77.18,85,60,1.79
245,Nizhnevartovsk,RU,2021-10-18 23:56:18,60.9344,76.5531,41.02,87,75,8.95
246,Flinders,AU,2021-10-18 23:56:19,-34.5833,150.8552,69.21,74,79,12.84
247,The Valley,AI,2021-10-18 23:56:19,18.217,-63.0578,82.54,83,20,2.3
248,Usinsk,RU,2021-10-18 23:56:20,65.9939,57.5281,35.35,76,100,14.29
249,Dali,CN,2021-10-18 23:56:20,25.7,100.1833,59.4,92,86,4.63
250,Beloha,MG,2021-10-18 23:56:20,-25.1667,45.05,68.97,89,18,6.42
251,Saint-Pierre,RE,2021-10-18 23:56:21,-21.3393,55.4781,71.24,72,0,6.91
252,Havre-Saint-Pierre,CA,2021-10-18 23:56:21,50.2334,-63.5986,48.79,100,90,12.66
253,Tiffin,US,2021-10-18 23:56:22,41.1145,-83.178,59.54,64,0,4.36
254,Sungaipenuh,ID,2021-10-18 23:56:22,-2.0833,101.3833,64.26,96,100,2.13
255,Khokhlovo,RU,2021-10-18 23:56:23,59.1492,37.3998,35.06,84,99,8.3
256,Constitucion,CL,2021-10-18 23:56:23,-35.3333,-72.4167,57.2,74,5,10.58
257,Nemuro,JP,2021-10-18 23:56:23,43.3236,145.575,48.63,60,17,16.46
258,Verkhnyaya Inta,RU,2021-10-18 23:56:24,65.9811,60.3094,34.97,81,99,11.48
259,Kuala Terengganu,MY,2021-10-18 23:56:24,5.3302,103.1408,76.95,94,20,2.3
260,Yangjiang,CN,2021-10-18 23:56:24,21.85,111.9667,71.28,79,85,5.59
261,Kamaishi,JP,2021-10-18 23:56:25,39.2667,141.8833,49.15,65,100,9.69
262,Notodden,NO,2021-10-18 23:56:25,59.5594,9.2585,42.21,93,100,2.48
263,Cabedelo,BR,2021-10-18 23:56:25,-6.9811,-34.8339,75.87,79,92,10.47
264,Cockburn Town,TC,2021-10-18 23:56:26,21.4612,-71.1419,80.56,78,40,3.44
265,Rocha,UY,2021-10-18 23:56:26,-34.4833,-54.3333,47.46,85,9,2.95
266,Makakilo City,US,2021-10-18 23:56:27,21.3469,-158.0858,83.61,57,75,16.11
267,Angoche,MZ,2021-10-18 23:56:27,-16.2325,39.9086,74.26,84,0,7.38
268,Port-Gentil,GA,2021-10-18 23:56:27,-0.7193,8.7815,78.76,83,75,11.5
269,Kosjeric,RS,2021-10-18 23:56:28,43.9961,19.9069,45.3,87,75,1.14
270,Zvishavane,ZW,2021-10-18 23:56:28,-20.3267,30.0665,55.78,95,100,9.42
271,Wembley,AU,2021-10-18 23:56:29,-31.9333,115.8,62.78,95,90,11.5
272,Wajima,JP,2021-10-18 23:56:29,37.4,136.9,59.68,77,40,1.14
273,Kindu,CD,2021-10-18 23:56:29,-2.95,25.95,70.63,99,100,2.73
274,Lithakia,GR,2021-10-18 23:56:30,37.7167,20.8333,61.59,70,12,1.83
275,Mahanje,TZ,2021-10-18 23:56:30,-9.9333,35.3333,64.29,72,39,3.13
276,Eureka,US,2021-10-18 23:52:23,40.8021,-124.1637,62.67,74,81,3.0
277,Iracoubo,GF,2021-10-18 23:56:30,5.4802,-53.2011,80.13,81,97,9.98
278,Sindou,BF,2021-10-18 23:56:31,10.6667,-5.1667,78.44,62,98,3.74
279,Cabo San Lucas,MX,2021-10-18 23:56:32,22.8909,-109.9124,86.61,65,72,1.01
280,Roald,NO,2021-10-18 23:56:32,62.5833,6.1333,47.34,53,90,13.8
281,Saldanha,ZA,2021-10-18 23:56:33,-33.0117,17.9442,51.85,74,1,14.07
282,Salalah,OM,2021-10-18 23:56:33,17.0151,54.0924,75.38,77,15,2.35
283,Lavrentiya,RU,2021-10-18 23:56:33,65.5833,-171.0,27.97,71,100,15.84
284,Mirabad,AF,2021-10-18 23:56:34,30.4362,61.8383,67.05,8,0,6.2
285,Hasaki,JP,2021-10-18 23:56:34,35.7333,140.8333,57.29,74,100,12.26
286,Kisangani,CD,2021-10-18 23:56:35,0.5167,25.2,71.13,98,100,0.78
287,Fort Stewart,US,2021-10-18 23:56:35,31.8722,-81.61,60.82,83,88,2.35
288,Klaksvik,FO,2021-10-18 23:56:35,62.2266,-6.589,50.92,96,100,18.99
289,Darnah,LY,2021-10-18 23:56:36,32.767,22.6367,69.46,69,99,7.16
290,Leh,IN,2021-10-18 23:56:36,34.1667,77.5833,35.2,81,92,2.66
291,Ambon,ID,2021-10-18 23:56:36,-3.6954,128.1814,84.34,89,20,2.3
292,Guatire,VE,2021-10-18 23:56:37,10.4762,-66.5427,82.9,97,20,1.21
